id	tok	eng	cmn
42242	tenpo seme la sina unpa lon tenpo pini?	When was the last time you had sex?	
42243	ni li suli ala.	It doesn't matter.	
42244	sijelo pi jan Ton li wawa ala.	Tom is frail.	
42245	jan Ton li musi kepeken musi pi lili sitelen.	Tom put together a jigsaw puzzle.	
42246	jan Ton li toki e ni: lon li sama musi pi lili sitelen.	Tom compared life to a puzzle.	
42247	ona li pali lon poki ante pi selo ma.	She works across the border.	
42248	ni li tawa pi sike ma.	That's the way of the world.	
42249	ona li ike ala tawa lukin.	He's not ugly.	
42250	ona li pali e ike ni: ona li weka e poki pi meli ni lon tenpo ni!	He just stole that woman's purse!	
42251	ona li moku ala e soweli.	He's a vegetarian.	
42252	ona li moku ala e soweli.	He's a vegetarian.	
42253	mi kin li wile kama sona e ni.	I would like to know as well.	
42254	jan Ton li wile mute.	Tom is demanding.	
42255	musi pi lili sitelen li pona mute tawa mi.	I love puzzles.	
42256	tenpo pimeja pi jan moli li lon tenpo seme?	When is Halloween?	
42257	nimi Jesu li lon lipu pi nasin sewi Silami.	Jesus is mentioned in the Koran.	
42258	tenpo suli pi tomo ni li seme?	How old is that house?	
42259	kasi li pona tawa jan Mewi.		瑪麗喜歡植物。
42260	o weka e ale poka. mi kama e ken.	To hell with circumstances; I create opportunities.	
42261	tan seme la lawa ala li lon ni?	Why is there such a mess here?	
42262	mi kama tan ma Tuki.	I am from Turkey.	
42263	mi toki la tenpo ala la mi kepeken nimi ni.	I don't use that kind of language.	
42264	mi olin e sina.	I love you!	
42265	mi awen lukin kama jo e lipu. mi kama jo e ona.	I found the book that I was looking for.	
42266	jan Ton en jan Mewi li pali e seme lon ma tomo Pasen?	What were Tom and Mary doing in Boston?	
42267	nimi mi li Sawa.	My name is Sarah.	
42268	mi jan sona.	I am a teacher.	
42269	jan Ton li lukin e ni: ijo li kama nasa.	Tom noticed strange things happening.	
42270	jan Supamen li ken tawa lon kon.	Superman can fly.	
42271	soweli li lili ala lili?	Is the cat little?	
42272	soweli li lili ala lili?	Is the cat little?	
42273	wile mi la jan Ton en jan Mali li musi taso.	I hope Tom and Mary were kidding.	
42274	pilin mi la ona li sona e pona.	In my opinion, she's right.	
42275	ilo tenpo li nanpa e tenpo.	Clocks measure time.	
42276	jan sewi li pali e ali.	God created the world.	
42277	mama mi li wile sona e sina.		我父母想见你。
42278	jan Ton o kalama ala. o kute e toki mi.	Tom, be quiet and listen to me.	
42279	nasin seme la sina kama sona e toki Epelanto?	How are you learning Esperanto?	
42280	soweli li lili ala lili?	Is the cat little?	
42281	soweli li lili ala lili?	Is the cat little?	
42282	soweli li lili ala lili?	Is the cat little?	
42283	soweli li lili ala lili?	Is the cat little?	
42284	soweli li lili ala lili?	Is the cat little?	
42285	soweli li lili ala lili?	Is the cat small?	
42286	mama mi li wile sona e sina.	My parents want to meet you.	
42287	jan sewi li pali e ali.	Allah created the world.	
42288	jan ale li sona e ona.	Everyone knew her.	
42289	sina ken ala ken pali e ni: kasi lili li kama lili kepeken ilo?	Could you mow the lawn?	
42290	sina ken pali e ni: kasi lili li kama lili kepeken ilo anu seme?	Could you mow the lawn?	
42291	jan Ton en Mali li pilin pona la mi kin li pilin pona.	If Tom and Mary are happy, so am I.	
42292	ken la jan Ton li ken ala pali e ni.	Tom is probably not going to be able to do that.	
42293	mi pilin e ni: sina tawa weka lon tenpo lili lon tenpo suno ni, la ni li pona mute.	I think you'd better leave early today.	
42294	mi wile e mani.	I need money.	
42295	jan lili li pana e kalama wawa.	The children are noisy.	
42296	jan li kalama musi uta.	Somebody's singing.	
42297	jan Ton li jan pi pona mute.	Tom is a very good person.	汤姆是个很好的人。
42298	tan seme la jan ala li moku?	Why is nobody eating?	
42299	mi sona kin e ni: jan Ton li pali e seme.	I already know what Tom did.	
42300	mi wile tawa tomo telo.	I need to use the bathroom.	
42301	mi pilin e ni: ni li ona.	I think that was her.	
42302	jan Mewi li wile utala anu seme?	Mary is aggressive, isn't she?	
42303	mi pilin mute e ni: tenpo kama li kama pona.	I'm hopeful about the future.	
42304	nasin li ike mute.	The road was very rough.	
42305	tenpo suli pi luka luka tu wan la mi sona e jan Ton.	I've known Tom for 13 years.	
42306	sina toki e ni tawa jan Ton: sina utala e ona?	Did you threaten Tom?	
42307	o pana ala e ken tawa ni: jan Ton li moku e telo walo.	Don't let Tom drink any milk.	
42308	mi pilin ala e ni: sina wile awen.	I don't think that we should wait.	
42309	jan Ton li kute e lipu sike pi kalama musi, pi sin ala.	Tom listened to an old vinyl record.	
42310	tan seme la sina wile pali e ni lon tenpo ni?	Why do you need to do that now?	
42311	poki len ni li lon tan soweli.	This bag is made of leather.	
42312	jan ale pi kulupu mama mi li jo e mani mute.	Everyone in my family is rich.	
42313	mi wile e pan walo lili.	I would like some white bread.	
42314	akesi pi noka wawa li moku e pipi.	Frogs eat insects.	
42315	soweli tomo li walo.	The dog is white.	
42316	toki suli li seme? ona li toki lili kepeken kulupu utala.	What is a language? It's a dialect with an army and a navy.	
42317	toki suli li seme? ona li toki lili kepeken kulupu utala.	What is a language? It's a dialect with an army and a navy.	
42318	toki suli li seme? ona li toki lili kepeken kulupu utala.	What is a language? It's a dialect with an army and a navy.	
42319	mi jan Seki ala.	I am not Czech.	
42320	soweli li mu.	Dogs are barking.	
42321	telo kili sina li seme?	What kind of fruit juice do you have?	
42322	mi pilin e ni: mi wile jan pona sina.	I think I'd like to be your friend.	
42323	sina ken luka suwi e soweli tomo.	They can pet the dog.	
42324	sina toki ala toki Lasino?	Do you speak Judeo-Spanish?	
42325	ni li lon ken pi tu wan.	There are three options.	
42326	jan Ton li lukin sama ni: ona li wile sona.	Tom seemed interested.	
42327	sina kepeken nasin seme tawa ni: sina pini moku e kon seli?	What method did you use to give up smoking?	
42328	sina pilin ala pilin e ni?	Don't you believe it?	
42329	mi lukin e jan Ton.	I met Tom.	
42330	mi sona ala.	I don't know.	我不知道。
42331	kon sina li jaki.	You stink.	
42332	kon sina li jaki.	You stink.	
42333	mi mama mije sina.	I'm your father.	
42334	mi mama mije sina.	I'm your dad.	
42335	mama mi li wile sona e sina.	My parents would like to meet you.	
42336	nena suli li sewi.	The mountains are tall.	
42337	nena suli li sewi.	The mountains are tall.	
42338	o kama sona.	Learn!	
42339	o kama sona.	Learn!	
42340	len mi ala li suli pona.	None of my clothes fit.	
42341	tenpo suno la mi lape. tenpo pimeja la mi pali.	I sleep during the day and work at night.	
42342	nena suli li sewi.	The mountains are tall.	
42343	nena suli li sewi.	The mountains are tall.	
42344	ko lete li pona tawa jan Ton.	Tom likes snow.	
42345	mi pilin e ni: jan li ken lawa e ni lon tenpo pini: pakala ni li ken ala kama.	I think that accident could have been prevented.	
42346	tenpo mute la jan Ton li jo e sinpin lawa pi pilin pona.	Tom smiles a lot.	
42347	mi wile e ni: sina pilin tan ni: seme li ken kama.	I want you to think about what might happen.	
42348	"""sina toki e seme?"" ""mi toki e ala."""	"""What did you say?"" ""I didn't say anything."""	
42349	ona li jo e mije sama pi tu wan.	He has three brothers.	
42350	kon telo li kama weka.	The clouds have disappeared.	
42351	mi kama jo e lipu lon esun.	I'll buy the tickets.	
42352	ona li wawa mute.	He is full of energy.	
42353	jan ala li pana e sona pi ijo ni.	Nobody explained it.	
42354	o pona a!	Please help!	
42355	tan seme la jan ala li pilin wawa e lon pi toki pi mi mute?	Why doesn't anybody believe us?	
42356	jan ale li pali e ni. jan Ton taso li pali ala.	Everybody here but Tom has done that.	
42357	mi kama sin lon pini pi tenpo suli tu wan.	I'll be back in three hours.	
42358	mi pana ala e mani tawa pali ona.	I didn't pay her.	
42359	mi pana ala e mani tawa ona.	I didn't give him money.	
42360	mi wile lape.	I must sleep.	
42361	ona li pilin e ni: mi lape.	They thought I was asleep.	
42362	soweli mije ni li unpa e soweli mije.	This dog is gay.	
42363	uta sina li jo ala e telo anu seme?	Are your lips dry?	
42364	o kama jo e lipu ni.	Take this brochure.	
42365	ala lili taso la mi kama kiwen lon palisa pi ilo toki.	I almost hit a telephone pole.	
42366	sina jo e nanpa seme pi lupa suno lon tomo lape sina?	How many windows are there in your bedroom?	
42367	mi toki suli e ni: mi kama ala lon tenpo pi suli ike.	I promised that I wouldn't be late.	
42368	sina kama ala tan ni anu seme?	You aren't from here, are you?	
42369	jan Ton li wile e ni: sina kama moli.	Tom wants you dead.	
42370	mi open e seme lon ni? mi wile pini e ona.	I want to finish what I started here.	
42371	jan Ton en jan Mewi kin li toki ala e ijo pi ijo ni tawa jan San.	Neither Tom nor Mary talked to John about that.	
42372	jan Ton en jan Mewi kin li tawa ala esun.	Neither Tom nor Mary goes to the store.	
42373	meli lili sina li lon seme?	Where's your daughter?	
42374	mi ken ala e ni: sina kama moli.	We're not going to let her die.	
42375	tenpo ale ala mi lukin tawa nasin lawa.	I don't always obey the rules.	
42376	tawa pona!	Bon voyage!	
42377	mi anu e ni la tenpo sinpin la mi wile toki tawa jan Ton.	I can't make that decision without talking to Tom first.	
42378	jan Ton, o pali e ni.	Thomas, do this.	
42379	jan Ton en jan Mewi li alasa e jan San.	Tom and Mary are looking for John.	
42380	jan Ton li toki e ni: ona sama li ken pali e ni.	Tom says he thinks he can do that by himself.	
42381	sina wile kama jan anpa.	You should surrender.	
42382	jan Ton taso li toki e ni tawa mi.	Tom was the one who told me the story.	
42383	ona li toki tawa ona sama.	He's talking to himself.	
42384	sina sona ala sona wawa e ni?	Do you know that for a fact?	
42385	tenpo suno kama la sina lukin e ona.	You'll meet them tomorrow.	
42386	ona mute li moli la mi mute li awen.	We will outlive them.	
42387	ona mute li moli la mi mute li awen.	We will outlive them.	
42388	ona mute li moli la mi mute li awen.	We will outlive them.	
42389	ona mute li moli la mi mute li awen.	We will outlive them.	
42390	ona mute li moli la mi mute li awen.	We will outlive them.	
42391	ona mute li moli la mi mute li awen.	We will outlive them.	
42392	sina soweli pona.	You're a good dog.	
42393	sina soweli pona.	You're a good dog.	
42394	sina soweli pona.	You're a good dog.	
42395	jan li sona ala sona e ni: ona li jan seme?	Does anybody know who that is?	
42396	moku pona!	Bon appetit!	
42397	sina soweli pona.	You're a good cat.	
42398	sina soweli pona.	You're a good cat.	
42399	tenpo pini la jan Ton li pini e ona.	Tom closed it.	
42400	ni li suwi mute.	This is very sweet.	
42401	sina mute li toki ala toki lon toki Talosa?	Do you speak Talossan?	
42402	sina toki ala toki lon toki Talosa?	Do you speak Talossan?	
42403	mi mute li lon kulupu.	We live in a society.	
42404	mi mute li lon kulupu.	We live in a society.	
42405	mi mute li lon kulupu.	We live in a society.	
42406	sina pilin ala pilin e ni: sitelen lukin ni li pona pi mute ale tan sitelen ale?	Do you consider this one of your best paintings?	
42407	sina toki e ni: ona li kon pi mute ike.	You said it was too easy.	
42408	mi pilin ala e ni: mi ken pali e ni.	I don't believe that we can do it.	
42409	ona mute li moli la mi mute li awen.	We will outlive them.	
42410	ona mute li moli la mi mute li awen.	We will outlive them.	
42411	ona mute li moli la mi mute li awen.	We will outlive them.	
42412	ona mute li moli la mi mute li awen.	We will outlive them.	
42413	tenpo ni la tenpo moku li weka ike.	There isn't enough time to eat now.	
42414	mi ken ala pali e ni: kasi kule li moli. o telo e ona.	We can't let these flowers die. Please water them.	
42415	sina toki e ni: ona li kon pi mute ike.	You said it was too easy.	
42416	sina sona ala sona e nimi pi mije Seson?	Do you know Mr. Jackson's first name?	
42417	tomo ni li suli mute lon insa.	This house is very spacious.	
42418	lukin mi li pini.	My eyes are closed.	
42419	sina lukin ala lukin e lipu ni ale?	Did you read it all?	
42420	mi pilin e ni: mi weka e ni lon sona mi: mi toki e ni tawa jan Ton.	I think I forgot to tell Tom that.	
42421	ona mute li moli la mi mute li awen.	We will outlive them.	
42422	ona tu li lon seme?	Where are those two?	
42423	ni li suwi mute.	This is very sweet.	
42424	telo lili li lon poki.	There is little water in the glass.	
42425	mi jo ala e tenpo ni: mi pali e ni.	I have no time to do that.	
42426	mi wile e jan ante lon tomo mi.	I wish I had a roommate to hang out with.	
42427	mi wile sina pali ala.	I wish you didn't have to go to work today.	
42428	jan Ton li wile ken toki pona lon toki Kanse sama jan Mewi.	Tom wishes he could speak French as well as Mary does.	
42429	mi ken ala. taso mi wile.	I cannot even though I want to.	
42430	jan Ton li jo e sinpin lawa sin pi tenpo pimeja pi jan moli.	Tom is wearing a Halloween mask.	
42431	tenpo pimeja pi jan moli li pona mute tawa jan lili.	Children love Halloween.	孩子们爱万圣节。
42432	pilin sina la mi mute o pali e seme?	What do you suggest we do?	
42433	mi pilin e ni: ni li ike mute.	I think this is extremely questionable.	
42434	jan Ton li pona lawa e tomo tawa la mi pona lili lawa e tomo tawa.	Tom is a better driver than me.	
42435	mi pilin e ni: mi pilin lape taso.	I think I'm just tired.	
42436	mi mute li lon kulupu.	We live in a society.	
42437	ni li laso ala anu seme?	Isn't this blue?	
42438	ni li laso ala anu seme?	Isn't this blue?	
42439	mi olin e ilo ni pi kalama musi.	I love this album.	
42440	sina ken ala ken toki e ni tawa mi: tenpo seme la mi wile pini e ilo?	Can you tell me when to switch the machine off?	
42441	telo li kama tan insa.	The water is coming out.	
42442	tenpo seme la mi kepeken ilo tawa?	When are we setting off?	
42443	pali sina li pona ala.	You haven't done a very good job.	
42444	soweli lili jaki mute li lon ma pi ijo jaki pi ma tomo.	The municipal rubbish dump is full of rats.	
42445	moku ni li jo e ko sin pi mute ike.	This dish is too spicy.	
42446	sina moku pi mute pona lon tenpo pini.	You've eaten enough.	
42447	pilin mi la mi wile ala kin pali lukin e ni.	I don't think we should even try to do that.	
42448	mi pana kin e mani tawa tenpo pi pana sona.	I've already paid for the first lesson.	
42449	mi sona ala e nasin ni.	I don't know this road.	
42450	mi sona ala e nasin ni.	I don't know this road.	
42451	sina pona ale tawa pali ni.	You'd be perfect for this job.	
42452	open pi tenpo suno ni la jan Mewi en jan olin ona li lon ni.	Mary and her boyfriend were here together this morning.	
42453	jan Ton li lon ma tomo Ansetan, la ona li tawa tomo sona pi ma Netelan.	Tom visited the National Museum when he was in Amsterdam.	
42454	mi pana sona la ni li pona mute tawa mi.	I loved teaching.	
42455	mi mute li wile kama utala.	We must attack.	
42456	soweli li utala e mi.	I got attacked by a bear.	
42457	ona li jo ala e kulupu mama ante.	He does not have other relatives.	
42458	mi moku e telo nasa pan.	I drank a beer.	
42459	pini ale pi insa ale pi tenpo suno la jan Ton li lili e kiwen kasi. tan ni la ona li pilin lape.	Tom felt exhausted after chopping wood all afternoon.	
42460	mi toki e ni tawa sina: mi pini ala.	I told you that I wasn't ready.	
42461	o luka wawa e ona.	Hold it tight!	
42462	jan Ton li pali e ijo. ni li pana e mani mute tawa ona.	Tom's invention made him very rich.	
42463	mi mute li lon kulupu.	We live in a society.	
42464	mi olin e ilo ni pi kalama musi.	I love this album.	
42465	tenpo suno pini la sina toki e seme?	What did you say yesterday?	
42466	mi olin e ilo ni pi kalama musi.	I love this album.	
42467	sina toki ala toki Lasino?	Do you speak Ladino?	
42468	ijo li lukin e mi.	Something is watching me.	
42469	ijo li lukin e mi.	Something is watching me.	
42470	ilo nasa li pakala e lon ale pi jan Ton.	Tom's life was totally ruined by drugs.	
